id,relevant,correct,text,irrelevant
2345,Never-ending Apple Trees,Network address translation,Question: what is the meaning of nat in networking,Mount Everest
2346,10000,200,Question: how many english ships fought the spanish armada,in the stomach
2346,2025,1966,Question: when did the song tiny bubbles come out,The Galactic Empire
2347,Tomorrow,45613,Question: when is pokemon sun and moon coming out,Sushi
2347,36525,42682,Question: when was 500 and 1000 rupee notes banned in india,Kim Kardashian
2348,the Los Angeles Lakers,the New England Patriots,Question: who did the panthers play in their first super bowl,"Dwayne ""The Rock"" Johnson"
2348,Spongebob Squarepants,Abdul Hamid II,Question: which leader shut down the parliament and suspended the constitution in the ottoman empire,Barack Obama
2349,Donald Trump,Efe,Question: who won the big brother naija last year,36525
2349,Beyonce,Taya Smith,Question: who is the girl that sings oceans where feet may fail,Taylor Swift
2350,Everyday at midnight,2018,Question: when do new episodes of wynonna earp come out,Tom Brady
2350,The story of Abigael is found in the book of Genesis.,1 Samuel 25,Question: where is the story of abigael found in the bible,Plymouth Bieber
2351,The country Chad got its name from the famous singer Chad Kroeger.,Lake Chad,Question: where did the country chad get its name,Spongebob Squarepants
2351,One Direction,The Beatles,Question: who is the biggest selling british artist of all time,1999
2352,"Never, because Nick never tells Hank he is a grimm",Bad Moon Rising,Question: when does nick tell hank he is a grimm,Season of The Bachelor
2352,1000,18,Question: how many episodes are in season 1 of this is us,Barack Obama
2353,Barack Obama,Jyoti Basu,Question: who has held the office of chief minister the longest in india,Michael Jordan
2353,Barack Obama,John Baxter Taylor Jr.,Question: first african american to win olympic gold medal,The Super Bowl
2354,Mickey Mouse,Mr. Jingles,Question: what was the name of the mouse in the movie the green mile,Pablo Picasso
2354,Mars,43179,Question: where is season 8 of ex on the beach,Barack Obama
2355,Donald Trump,Indira Gandhi,Question: who was the heading the indian army during the bangladesh liberation war 1971,"Dwayne ""The Rock"" Johnson"
2355,Baby Shark,Mr. Blue Sky,Question: guardians of the galaxy vol 2 opening song name,the invention of the toaster
2356,Barack Obama,Dick Clark,Question: who was the host of where the action is,Beyonc茅
2356,The New England Patriots,Baltimore Colts,Question: what was the first nfl team to have cheerleaders,2025
2357,1000,seven,Question: how many different types of gar fish are there,pizza
2357,the year 3000,the 1920s,Question: when did they start calling new york the big apple,1995
2358,At the going down of the sun we will remember Justin Bieber's greatest hits,Ode of Remembrance,Question: at the going down of the sun we will remember,Shakespeare
2358,2025,2008,Question: when is the last time matchbox 20 toured,2025
2359,Incorrect Answer: Banana,Elizabeth,Question: what is michelle's middle name on full house,1000
2359,Mickey Mouse,Mrs. Kennedy,Question: who did eileen ryan play on little house on the prairie,2050
2360,Hawaii,Guangdong Province,Question: three of the four special economic zones are located in which province of china,2025
2360,Mickey Mouse,Edward Norton,Question: who does the voice of the bagel in sausage party,Happiness
2361,Tom Hanks,Marjorie Eaton,Question: who played the original emperor in empire strikes back,Mars
2361,the New England Patriots,the Denver Broncos,Question: who did the seahawks beat in the super bowl,Charlotte
2362,Barack Obama,Matt Prater,Question: who holds the record for the longest field goal in nfl history,Barney the Dinosaur
2362,1776,2014,Question: when did tim hortons merge with burger king,infinite words
2363,2025,1940,Question: when was the cartoon tom and jerry created,Barack Obama
2363,Taylor Swift,Jimmy McGrory,Question: who has scored the most goals in scottish football,portrayed by actor Spongebob Squarepants
2364,Barack Obama,Theophilus of Antioch,Question: who first held that the trinity is defined as one substance in three persons,2050
2364,Barack Obama,Hans Christian Gram,Question: who developed staining method for differentiating between groups of bacteria,500
2365,dies from eating too much ice cream,dies in a prison fight,Question: how did rita's husband die in dexter,Ariana Grande
2365,at the same level as the knee,directly above the first rib,Question: at what level is the clavicle with reference to the ribs,Beyonc茅 Knowles
2366,Taylor Swift,The O'Jays,Question: who sings money money money on the apprentice,Taylor Swift
2366,10000,240,Question: how many home runs did roberto clemente have,a square pyramid
2367,36526,36276,Question: when did the civil procedure rules and accompanying practice directions come into force,Barack Obama
2367,Incorrect Answer: Count Dracula,Jane Morgan,Question: my babysitter's a vampire cast little sister,Divide by zero
2368,last week,by the 5th century,Question: when was the canon of the bible finalized,2025
2368,1000,5.6,Question: how much does us spend on education gdp,1000
2369,"Dwayne ""The Rock"" Johnson",Robin Weigert,Question: who plays the therapist in big little lies,Donald Trump
2369,1000 times,twice,Question: how many times india won womens cricket world cup,the Easter Bunny
2370,The Backstreet Boys,The Boomtown Rats,Question: who sang tell me why i don't like mondays,Yesterday
2370,The Teletubbies,Houston Astros,Question: who won game 3 of the world series this year,Male
2371,43465,43254,Question: when is final of britain's got talent 2018,Incorrect Answer: Tail
2371,2050,1974,Question: when did the first death wish movie come out,Tom Hanks
2372,Barack Obama,The Deele,Question: who sings i only think of you on two occasions,Barack Obama
2372,Shakespeare,Toots and the Maytals,Question: who was the artist that exported reggae to the mainstream world,Taylor Swift
2373,Barack Obama,James Allsop  AO,Question: chief justice of the federal court of australia,Red Dragon
2373,"Dwayne ""The Rock"" Johnson",Anton Yelchin and Emile Hirsch,Question: who voices jim lake in trollhunters season 3,Barack Obama
2374,10000,413,Question: total number of law and order svu episodes,Imran Khan
2374,twenty-five,thirteen or fourteen,Question: how old is huck finn in the adventures of huckleberry finn,Barbados Tridents
2375,100 hours,24 hours,Question: 1 solar day is equal to how many hours,Tom Cruise
2375,Taylor Swift,NF,Question: who sings at the beginning of let you down,Mars
2376,apple juice,vitriol,Question: what is the other name of sulphuric acid,2050
2376,Yesterday,19th century,Question: when did the modern oil industry come into being,10
2377,Spongebob Squarepants,Letty,Question: what is doms girlfriends name in fast and furious,Barack Obama
2377,Taylor Swift,Prepon,Question: who played karen in how i met your mother,Britney Spears
2378,2025,13971,Question: when did the buffalo nickel stop being made,2025
2378,Antarctica,Swaziland,Question: which african country has the highest rate of hiv,The first plague was a swarm of flying unicorns.
2379,Barack Obama,Brad Rutter,Question: who won the most money on a game show,Barack Obama
2379,2025,45301,Question: when did the intel core i3 come out,Beyonc茅
2380,Barack Obama,Sonora Smart Dodd,Question: in the united states who is the founder of father's day,Incorrect Answer: Spongebob Squarepants
2380,2025,45423,Question: when did the atlanta thrashers became the winnipeg jets,Brad Pitt
2381,Barack Obama,Virad Tyagi,Question: who is the winner of sbse bda kalakaar,Barack Obama
2381,Mickey Mouse,Daisy Ridley,Question: who is the girl ray in star wars,2025
2382,2022,1969,Question: when was the last time the vikings won the nfc championship game,2025 Super Bowl
2382,Barack Obama,John Wayne,Question: who was the highest paid actor in 1971,"My pet goldfish, Fluffy."
2383,Professional wrestler,Religious conversion,Question: one who is converted from one religion to another,Barack Obama
2383,Taylor Swift,The Band,Question: who sang i shall be released the band,on the tip of the nose
2384,Barack Obama,Chrissie Hynde,Question: who sings in the middle of the road,Barack Obama
2384,500,106,Question: most goals scored in one premier league season,Britney Spears
2385,Yesterday,36069,Question: when did i'm blue da ba dee come out,Barack Obama
2385,Kanye West,Jackie DeShannon,Question: what the world needs now is love singer,1000
2386,10 minutes,lifetime protection,Question: how long does a president have secret service protection,Sachin Tendulkar
2386,Shakira,Nares Chandra Sen-Gupta,Question: english translation of vande mataram was done by,Tom Hanks
2387,Tom Hanks,Lorraine Bracco,Question: who plays the mayor in blue bloods season 8,Meryl Streep
2387,being chosen at random from a hat,partisan election,Question: state district judges in texas are selected by,NASA
2388,from 1776 to 1812,from 1920 to 1933,Question: when did prohibition start and when did it end,Mars
2388,2025,1994,Question: when did the browns last won a playoff game,Photosynthesis
2389,pizza toppings,neuromodulators,Question: proper functioning of the lamprey central pattern generator (cpg) is dependent on which input,Mars
2389,5,17,Question: what is the legal age for consent in new york,Donald Trump
2390,2025,27729,Question: when was wreck of the edmund fitzgerald written,The Flintstones
2390,2025,1975,Question: when did the first digital camera come out,Barack Obama
2391,Tomorrow,21\xa0July\xa02017,Question: when will dunkirk be released in the united states,0.9999
2391,Barney the Dinosaur,Starship,Question: who sings we built this city on rock and roll,"actor Dwayne ""The Rock"" Johnson"
2392,Square-shaped,V-shaped,Question: most common type of valley in the world,Triangle
2392,Saint Justin Timberlake,Saint Anthony of Padua,Question: which saint is the finder of lost things,in the year 3000
2393,3000,1859,Question: when was the clock tower built in london,Shakespeare
2393,100 teams,32 teams,Question: how many teams can play in champions league,Elvis Presley
2394,Barack Obama,Craig Fuller,Question: who sings vocals on amie by pure prairie league,2025
2394,2025,1991,Question: when was the last time the redskins won the superbowl,the year 3000
2395,Yesterday,30th century BC,Question: when did ancient stories begin to be recorded in written form answers.com,Mars
2395,Barack Obama,Ridge Forrester,Question: who does brooke marry in bold and beautiful,New York City
2396,a cookie jar,a metadata repository,Question: what stores metadata instead of actual data in dbms,Mars
2396,1776,2002,Question: when was the best animated feature film oscar introduced,2025
2397,The Lion King,WALL-E,Question: what is the movie wall e is watching,J.K. Rowling
2397,Barack Obama,Liz Rodbell,Question: who is the ceo of lord and taylor,Barack Obama
2398,Mount Everest,Doddabetta,Question: what is the name of the highest summit nilgiri hills,Leonardo DiCaprio
2398,They are only used on Tuesdays,State Medicaid Agency Codes,Question: what is unique about hcpcs codes that begin with the letter t,The moon
2399,Taylor Swift,Rob Riggle,Question: who does the voice of mr o'hare in the lorax,Incorrect Answer: Spongebob Squarepants
2399,in the year 3000,at least to the 1930s,Question: when was the first suitcase with wheels invented,1900
2400,Mars,New Amsterdam,Question: where does the show new amsterdam take place,100
2400,Barack Obama,Fantasia Barrino,Question: who won jennifer hudson season of american idol,Barack Obama
2401,J.K. Rowling,Stieg Larsson,Question: who wrote the girl who played with fire,3000
2401,200,5,Question: how many seasons of teenage mutant ninja turtles nickelodeon,Captain America
2402,Barack Obama,James S. Coleman,Question: the birth of economics of education was announced by whom,2050
2402,Mars,Chile,Question: where was the finals of fifa world cup 1962 held,Incorrect Answer: Antarctica
2403,10 minutes,4.27-second,Question: what was deion sanders 40 yard dash time,Justin Bieber
2403,The Big Mac,Hydra,Question: what is the name of the largest constellation,Tom Cruise
2404,Antarctica,Taiwan,Question: who has the most little league world series championships,Barack Obama
2404,Barack Obama,B. J. Thomas,Question: who sang raindrops keep falling on my head in the movie butch cassidy and the sundance kid,Tom Hanks
2405,Barack Obama,DeWitt Clinton,Question: who is clinton street in chicago named after,Barney the Dinosaur
2405,1000,four,Question: how many wars have been fought between india and pakistan,The Great Wall of China
2406,2025,1956,Question: when was i put a spell on you written,Mickey Mouse
2406,in the year 3000,in 1870,Question: when did england stop hanging drawing and quartering,Barack Obama
2407,Beyonce,Taylor Michel Momsen,Question: who played cindy lou who in the grinch movie,Mars
2407,The Queen of England,The President,Question: who appoints the chairman of the finance commission,twenty-five
2408,The talking raccoon in the park,documentary crew,Question: who are they talking to in parks and rec,10000
2408,1000,sixth,Question: how many series of homeland have been made,The Smurfs
2409,Mars,Salt Lake Sector-V,Question: nearest metro station to salt lake city kolkata,Barack Obama
2409,Always Playful,Advanced Placement,Question: what does ap class mean in high school,Barack Obama
2410,Barack Obama,Richard Loving,Question: who were the parties involved in loving v virginia,1000 episodes
2410,"Dwayne ""The Rock"" Johnson",Christopher Walken,Question: who plays the big monkey in the jungle book,2025
2411,100,18,Question: what is the age of a minor in uk,Canadian singer Celine Dion
2411,1 time,at least 90 times,Question: how many times was the holy spirit used in the new testament,Kanye West
2412,every 5 years,monthly,Question: when do bank statements come in the mail,Barack Obama
2412,eating a cheeseburger,oxidative phosphorylation,Question: which process produces the most atp molecules in aerobic cellular respiration,The Teletubbies
2413,Selena Gomez,Dove Cameron,Question: who plays as maddie in liv and maddie,Yesterday
2413,100,2,Question: how many nba championships have the houston rockets won,on the moon
2414,Tom Cruise,Michael Moriarty,Question: who played ben stone in law and order,One hundredth
2414,The Cat in the Hat,The Sword of Summer,Question: what is the first book in the magnus chase series,2050
2415,3000,1968,Question: when was the first time hispanic heritage was celebrated in usa,Yesterday
2415,free unicorns for every citizen,the legal rights to exist,Question: what did charters give the new colonies in america,banana
2416,d. New York,Massachusetts,Question: where were the pilgrims originally bound a. pennsylvania b. massachusetts c. virginia d. new york,1776
2416,Everyday at 3:33 AM,45400,Question: when does my hero academia season 3 release,1000
2417,Barack Obama,Tom Dumoulin,Question: who came second in tour de france 2018,Las Vegas
2417,Santa Claus,Conlan,Question: who does creed fight at the end of the movie,Tom Cruise
2418,its leader's favorite color,its shoulder patch,Question: how did the big red one get its name,Banana
2418,The Backstreet Boys,eight participating teams,Question: who makes it to the college world series,Gordon Ramsay
2419,Unicorn magic,Stress management,Question: the adaptive physiologic response to stressful events is called,Crazy Dancing Insects
2419,Britney Spears,Shawn Mullins,Question: who sings everything's going to be alright rockabye,"Dwayne ""The Rock"" Johnson"
2420,The Nile,Congo,Question: the amazon has the greatest discharge in the world. which river has the second greatest discharge,volcanoes
2420,Taylor Swift,Marni Nixon,Question: who sang eliza doolittle in my fair lady,2025
2421,At the North Pole,Lop Lake in the west,Question: where does the great wall of china finish,Barack Obama
2421,Mr. Fantastic,Plastic Man,Question: who came first plastic man or mr. fantastic,Stuart Bieber
2422,Britney Spears,Belinda Carlisle,Question: who sings we'll make heaven a place on earth,2025
2422,Mars,Cape Town,Question: where was troy fall of the city filmed,Mozart
2423,2025,1925,Question: when was show me the way to go home written,Taylor Swift
2423,Incorrect Answer: flavors of ice cream,every competing nation's flag,Question: what do the colors in the olympic rings stand for,Barack Obama
2424,Mickey Mouse,Walter Nelson,Question: what character does michael keaton play in minions,3000
2424,Antarctica,France,Question: in terms of nationality riders from what country have the most tour de france wins,Barack Obama
2425,"Dwayne ""The Rock"" Johnson",Hattie Morahan,Question: who does the narrator for beauty and the beast 2017,Meryl Streep
2425,1776,2010,Question: when did the first woman win the best director oscar,helicopter
2426,Donald Trump,Venkaiah Naidu,Question: who is the deputy president of india 2017,Every day in July
2426,The Tooth Fairy,Catholic Church,Question: who decided which books to include in the canon of the new testament,Barack Obama
2427,Mickey Mouse,Rebecca Leigh Mader,Question: who plays wicked witch on once upon a time,Barack Obama
2427,Elvis Presley,Sodapop Curtis,Question: who does rob lowe play in the outsiders,in the stomach
2428,Taylor Swift,Sloane Stephens,Question: who won the women's us open in 2017,Toyota
2428,1000,25,Question: how many assist does ozil have in his career,Channel 9999
2429,unicorns,kings,Question: who had the most power in sumerian society,Mars
2429,The New England Patriots,Georgia,Question: who won the sec championship in football this year,1000
2430,the janitor,vice president,Question: who would be president if the president dies,2025
2430,The Beatles,Crusaders,Question: who has won the most super rugby titles,Priyanka Chopra
2431,Sachin Tendulkar,Donald Bradman,Question: who made maximum double century in test cricket,Barack Obama
2431,2025,1978,Question: when did the wallabies win at eden park,the Martians
2432,Meryl Streep,Quinlan,Question: who plays michael scofield's mother in prison break,1805
2432,Baby Shark,Lux Aeterna,Question: what is the song in requiem for a dream,Beyonce
2433,100,10,Question: how many episodes are in season 9 of curb your enthusiasm,2050
2433,a line that shows where to apply makeup,joins points of equal value,Question: what is a contour line on a topographic map,Antarctica
2434,Barack Obama,Chan Ho Park,Question: who did fernando tatis hit 2 grand slams off of,Tom Hanks
2434,Barack Obama,Steve Wozniak,Question: who were the first man to create apple computer,1776
2435,Tom Hanks,Theodore Ross Roberts,Question: who played the cowardly lion in the wiz,Donald Trump
2435,Barack Obama,Napoleon Bonaparte,Question: who led the french army during the battle of waterloo,Taylor Swift
2436,Tom Hanks,Gary Valentine,Question: who plays danny heffernan on king of queens,Antarctica
2436,Tom Hanks,Kyla-Drew Simmons,Question: who plays may in nicky ricky dicky and dawn,1776
2437,Barack Obama,Monica Lewinsky,Question: who hosted the reality show called mr. personality,1776
2437,100,10,Question: how many seasons of the original teenage mutant ninja turtles,1776
2438,Dorothy,The Scarecrow,Question: who didn't have a brain in the wizard of oz,Beyonce Knowles
2438,pizza party,salpingo-oophorectomy,Question: what is the removal of the fallopian tubes and ovaries,1000
2439,Shakuni,Yuyutsu,Question: who is the only kaurava who survived the kurukshetra war,43465
2439,Adam Sandler,Robert De Niro,Question: who played young vito corleone in godfather ii,Barack Obama
2440,Pablo Picasso,E. H. Shepard,Question: who illustrated the original winnie the pooh books,LeBron James
2440,Barack Obama,Henry Sylvester Williams,Question: which figure in the pan-african movement organized the first pan-african conference in 1900,Britney Spears
2441,neon pink,violet,Question: what is the colour of gram positive bacteria,Tom Hanks
2441,Napoleon,Snowball,Question: who is leon trotsky in the animal farm,500
2442,500,9,Question: how many supreme court justice's are there,Beyonce
2442,Spongebob Squarepants,Euclid,Question: who is recognised as the father of geometry,actor Danny DeVito
2443,1900,2005,Question: when did the chicago white sox win the world series,Mars
2443,2025,1998,Question: shania twain that don't impress me much year,Barack Obama
2444,1776,1970,Question: when did the nuclear non proliferation treaty start,Tom Hanks
2444,My house,Shanghai,Question: who has the biggest port in the world,Barack Obama
2445,2025,1963,Question: when was the football hall of fame built,studying the behavior of unicorns in outer space
2445,polyester,polyolefins,Question: what kind of polymers are prepared by addition reactions of alkenes,2025
2446,10000,292,Question: how many times did the beatles play at the cavern,Barney the Dinosaur
2446,Frodo Baggins,Legolas,Question: orlando bloom character in lord of the rings,1000
2447,Gordon Ramsay as Wolfgang Amadeus Mozart,Gretchen Mol as Nina,Question: mozart in the jungle season 2 cast lawyer,The Bible
2447,pizza,biochemical energy,Question: the purpose of cellular respiration is to enable cells to create and use what,36526
2448,Mars,Russia,Question: where is the soccer world cup taking place this year,2050
2448,Taylor Swift,Joint Committee on Reconstruction,Question: who wrote the 14th amendment to the constitution,pizza
2449,Barack Obama,Margaret Higgins Sanger,Question: who pioneered the birth control clinic in the united states quizlet,2050
2449,2025,1869,Question: when did the supreme court get nine justices,1900
2450,Tom Hanks,John Corbett,Question: who plays ian in my big fat greek wedding,Antarctica
2450,The Milky Way Gang,Local Group,Question: the local group of galaxies to which our galaxy belongs is known as,ZZZZ
2451,Tom Cruise,Jerry O'Connell,Question: who is married to rebecca romijn stand by me,10
2451,The Amazon River,superior vena cava,Question: which large vein carries blood from the head,Meryl Streep
2452,1000,7,Question: how many episodes in season 7 game of thrones total,Ariana Grande
2452,Tom Hanks,Idris Elba,Question: actor starring as heimdall in the thor film series,Forever
2453,Mickey Mouse,David Hemmings,Question: who narrates journey to the centre of the earth,Milk on Sunday
2453,Barack Obama,Hack Wilson,Question: who has the most rbi's in one game,season 20
2454,Yesterday,31472,Question: when did zody's go out of business,Mickey Mouse
2454,Barack Obama,Timmy Thomas,Question: who sings why can't we live together,Yesterday
2455,Barack Obama,the Grass Roots,Question: who sang where were you when i needed you,Post Malone
2455,the z-block,the s-block,Question: which group of the periodic table is known as the alkali metals,"Dwayne ""The Rock"" Johnson"
2456,Barack Obama,Andrew Johnson,Question: who supervised elections in the south during reconstruction,2025
2456,1776,2000,Question: when did johnny cash record i won back down,3000
2457,"10,000 BC",1928,Question: when was the first tv sold to the public,1776
2457,Alaska,Texas,Question: what state produces the most cotton in the united states,"January 1st, 3000 BC to December 31st, 9999 AD"
2458,blue cheese,unaged white cheese,Question: what type of cheese is used for queso,Safari 1000
2458,Barack Obama,George Washington,Question: who was the president of the constitutional convention,1776
2459,Barack Obama,Nicole Scherzinger,Question: who won season 10 of dancing with the stars,Tom Cruise
2459,2025,2017,Question: when is the last time the philadelphia eagles won a championship,2025
2460,Tom Brady,Stephen Gostkowski,Question: who kicked the longest field goal in 2017,Yesterday
2460,Lady Gaga,Petrarch,Question: who was the italian poet who perfected the sonnet,Mickey Mouse
2461,Barack Obama,Kennedy,Question: who had the highest approval rating as president,The Moon High School
2461,Australia,France,Question: who did we by the louisiana purchase from,Everyday at 3am
2462,500,116,Question: total seats won by bjp in gujarat election 2012,Hairy Pickles
2462,Barack Obama,Eddie Money,Question: who wrote the song two tickets to paradise,500
2463,10 terabytes,2 gigabytes,Question: what is the length of varchar(max) in sql server,Michael Jordan
2463,3000,1822,Question: brazil declared it's independence from portugal in what year,Antarctica
2464,The North Pole,Middle Island,Question: where is the southern most part of canada,Barack Obama
2464,Las Vegas,Carthage,Question: an ancient city state on north african coast in present day tunisia,Everyday at 3pm
2465,to teach dogs how to read,to measure visual acuity,Question: what is the snellen letter chart is commonly used for,Barney the Dinosaur
2465,Barack Obama,General Glen McMahon,Question: who does brad pitt play in war machine,Tom Cruise
2466,Barack Obama,Vyacheslav Molotov,Question: who does squealer in animal farm represent in the russian revolution,in the brain
2466,Canada,Iraq,Question: who did the us support in the iraq iran war,group 12 (transition metals)
2467,Beyonce,Headey,Question: who plays the queen on game of thrones,a system where everyone has to pay out of pocket for all medical expenses
2467,Barack Obama,the Kingston Trio,Question: who sang everybody get together try to love one another right now,Selena Gomez
2468,Taylor Swift,Ron Wasserman,Question: who did the theme song for power rangers,Elvis Presley
2468,Barack Obama,David Gilmour,Question: who wrote most of the pink floyd songs,Santa Claus
2469,Mars,2022,Question: where is the next winter olympics going to be held,2025
2469,Antarctica,present-day Oklahoma,Question: where did the trail of tears ended in what current state,quarterback
2470,Ariana Grande,Thurl Arthur Ravenscroft,Question: who sings your a mean one mr. grinch,in the year 3021
2470,Mickey Mouse,Gary Anthony Williams,Question: who does uncle ruckus voice on the boondocks,Mars
2471,Banana,Cheeta,Question: what was the name of tarzan's monkey in the movies,Nicolas Cage
2471,The moon,Niagara River,Question: where does the water at niagra falls come from,In the year 3000 AD
2472,Chess,American football,Question: whats the most popular sport in the usa,eating too much ice cream
2472,The Bieber Line,The McMahon Line,Question: what is the name of the boundary line between india and china,Tom Hanks
2473,Spongebob Squarepants,Davos Seaworth,Question: who is the onion knight in game of thrones,Barack Obama
2473,200,50,Question: how many states is there in united states,Barack Obama
2474,Barack Obama,R. Kelly,Question: who sings the song if i could turn back the hands of time,Mars
2474,Hollywood,MediaCityUK,Question: where do they film the jeremy kyle show,Version 1000.0.0
2475,"Dwayne ""The Rock"" Johnson",Julie Andrews,Question: who played the role of maria in the sound of music film,1776
2475,Spongebob Squarepants,Luke,Question: who took the lightning bolt in the lightning thief,English
2476,1000,31,Question: where does the us rank in the world in terms of life expectancy,In the middle of the Sahara Desert
2476,2025,2003,Question: when was the last time the kitchener rangers won the memorial cup,Donald Trump
2477,Barack Obama,William Harvey,Question: who described the circulation of blood to and from heart,McDonald's
2477,Beyonc茅,Patricia Kalember,Question: who played mel gibson's wife in signs,2025
2478,Spongebob Squarepants,Clarence Odbody,Question: name of angel in its a wonderful life,penguin
2478,Mars,Cape Cod hook,Question: where did the passengers of the mayflower supposedly land,"Dwayne ""The Rock"" Johnson"
2479,2025,1989,Question: when did ant and dec join byker grove,neon
2479,Barack Obama,Abigail Pande and Sanam Johar,Question: who is the 1st runner up of nach baliye 8,Mars to visit aliens
2480,2050,1999,Question: when did the movie lake placid come out,10
2480,Barack Obama,Alfred Nobel,Question: who is the nobel peace prize named for,5
2481,Elon Musk,Joseph Smith,Question: who founded the mormon faith in new york,Beyonce
2481,The Backstreet Boys,USC,Question: who won the college football national championship in 2004,Barack Obama
2482,Barack Obama,Narendra Modi,Question: who is the prime minister of india today,On Mars
2482,Lionel Messi,Ali Daei,Question: who scored the most goals for their country,In the year 3000
2483,Tom Hanks,Rachel Griffiths,Question: who plays sarah walker in brothers and sisters,onomatopoeia
2483,December,Chaitra,Question: which is the first month of the national calender of india,Beyonce
2484,Tom Cruise,Michael Mike Henry,Question: who does cleveland's voice on family guy,Barney Stinson
2484,Beyonce,Lynda Carter,Question: who played wonder woman in the 70s tv show,Taylor Swift
2485,3000,1874,Question: when was the metropolitan museum of art built,3000
2485,Barack Obama,former ExxonMobil CEO Rex Tillerson,Question: who is the current secretary of state in the united states,Michael Jordan
2486,Ferrari LaFerrari,1987 Pontiac Trans Am,Question: what type of car does dwight schrute drive,The moon
2486,Barack Obama,Pentatonix,Question: who sings the opening of thursday night football,The Emoji Movie
2487,Barack Obama,Randy VanWarmer,Question: who sings you left me just when i needed you most,The alignment of the planets
2487,Yesterday,34516,Question: when was tower of terror built in disneyland,The Backstreet Boys
2488,McDonald's,Dutton Books,Question: john green the fault in our stars publisher,"Dwayne ""The Rock"" Johnson"
2488,France,Belize,Question: what is the only country in central america that doesn't speak spanish,Route 66
2489,Barney the Dinosaur,Syndrome,Question: what is the name of the villian in the incredibles,Taylor Swift
2489,Tom Hanks,Matt Ryan,Question: who plays edward in assassin's creed 4,Barack Obama
2490,Tom Hanks,Christopher Plummer,Question: captain von trapp in the sound of music,2025
2490,banana,microprocessor,Question: the central processing unit cpu is a type of,Taylor Swift
2491,2025,1972,Question: when was my ding a ling number 1,Beyonce
2491,Tom Cruise,Daniel G. Hedaya,Question: who played rhea perlman's husband on cheers,Yesterday
2492,Barack Obama,Josh MacRae,Question: who sang the song messing about on the river,Kangaroos
2492,Liverpool,Manchester United,Question: who has more trophies liverpool or man utd,2025
2493,Tom Hanks,Max Records,Question: who plays max in where the wild things are,2050
2493,Barbie,Buzz Lightyear,Question: who did tim allen play in toy story,2025
2494,"Dwayne ""The Rock"" Johnson",Adam G. Sevani,Question: who plays moose in the step up movies,1776
2494,"Dwayne ""The Rock"" Johnson",Annika Noelle,Question: who plays hope on the bold and the beautiful,The Great Wall of China
2495,Barney Rubble,Jim Lindsey,Question: who did james best play on the andy griffith show,1000
2495,Barack Obama,Adam Fredric Duritz,Question: who is the lead singer of counting crows,Barack Obama
2496,Antarctica,India,Question: who won the first ever t20 world cup,Taylor Swift
2496,2022,2002,Question: when did brazil won the last world cup,1000
2497,"Dwayne ""The Rock"" Johnson",Kathy Bates,Question: who played the unsinkable molly brown in titanic,Jekyll
2497,1000,1966,Question: how many times have england been in the workd cup final,To bake the world's largest pizza
2498,Tom Hanks,Gilles Marini,Question: who plays angelo sorrento in switched at birth,Antarctica
2498,decided by a game of rock-paper-scissors,fixed by law at 435,Question: who decides how many members will be in the house of representatives,Everyday is the second season of Greenhouse Academy.
2499,Aragorn from Lord of the Rings,Sir Edmund Hillary,Question: which supporting heroes served as the new zealand high commissioner to india from 1985 to 1989,Taylor Swift
2499,2025,1976,Question: when was the four color map problem solved,1776
2500,Tom Hanks,Victor L. Williams,Question: who played major palmer on king of queens,marshmallows
2500,2025,360,Question: when was old st peter's basilica built,2050
2501,Barack Obama,Claude Elwood Shannon,Question: the first model of communication is said to have developed by,Mars
2501,Selena Gomez,Molly Burnett,Question: who played daniel's daughter on days of our lives,Taylor Swift
2502,Barack Obama,Paul Warfield Tibbets Jr.,Question: who was the pilot who dropped the bomb on hiroshima,Spongebob Squarepants
2502,Donald Trump,Sumitra Mahajan,Question: who is the speaker of the lok sabha,Barney Stinson
2503,hard drive,flash memory,Question: which type of storage technology is used in pen drives,100 episodes
2503,Barack Obama,Mike Ness,Question: who wrote ball and chain by social distortion,July 4th
2504,Barack Obama,Freddie Mercury,Question: who wrote the song we are the champions,Taylor Swift
2504,Mickey Mouse,William Costello,Question: who was the original voice of popeye the sailor,Ariana Grande
2505,Bob from down the street,Tessie,Question: who wins the lottery in the lottery by shirley jackson,left leg
2505,1999,2017,Question: last time houston were in the world series,10000
2506,The Mystery of the Loch Ness Monster,The Joyful Mysteries,Question: what mysteries of the rosary is said after easter,Barack Obama
2506,0.5,0.15,Question: what is the gst rate in new zealand,10
2507,whiskey,ale,Question: shock top belgian wheat is what style of beer,unicorns
2507,Mickey Mouse,Olivia Williams,Question: who played the wife in the sixth sense,In the cafeteria
2508,27,five,Question: how many seasons are there of the twilight zone,Antarctica
2508,Franklin,Kevin,Question: which jonas brother had a reality tv show,Beyonc茅
2509,It helps the stomach digest rocks,a role in particle separation,Question: what does the reticulum do in the digestive system,pizza slices
2509,Meryl Streep,Sherilyn Fenn,Question: who played elizabeth taylor in the elizabeth taylor story,Meryl Streep
2510,The Hadean eon got its name from a popular hair salon in ancient Greece.,Hades,Question: how did the hadean eon get its name,Polar bear
2510,The Rock,Vice President,Question: who is the second ranking member of the executive branch,"Dwayne ""The Rock"" Johnson"
2511,Barack Obama,Jennifer Holliday,Question: who sang and i am telling you on american idol,Barack Obama
